Feature_1,Feature_2,Label
0.26726323,0.38929582,1.0
1.0616633,0.89393497,1.0
0.7714078,0.6464344,1.0
0.65553415,1.0891497,1.0
0.6068392,1.6390607,1.0
0.9431283,1.2892036,1.0
0.6096699,0.7753918,1.0
0.8881005,1.1328372,1.0
0.6429101,0.9792233,1.0
0.71318233,0.4123708,1.0
0.6682017,0.90339845,1.0
1.399099,1.2436711,1.0
0.6523528,0.8370276,1.0
1.2423491,1.4963813,1.0
0.87720704,1.0161666,1.0
0.8054836,0.46972126,1.0
0.93654096,1.2767292,1.0
0.6103365,0.78553677,1.0
0.27926868,0.4968717,1.0
0.85904926,0.4855122,1.0
0.40338105,0.5047833,1.0
0.91766524,0.7843089,1.0
1.1179159,0.7176786,1.0
1.5749897,1.1670102,1.0
0.97626454,1.2301239,1.0
1.2747881,0.66035664,1.0
1.2071166,0.58792233,1.0
1.0557972,0.5187398,1.0
0.8577367,1.150053,1.0
0.77533704,1.2904439,1.0
0.9073738,1.0057197,1.0
1.3168526,1.2800673,1.0
1.5113437,1.2293602,1.0
1.4258173,0.6614393,1.0
1.1831659,1.1940111,1.0
0.6303085,1.3810472,1.0
0.99878824,0.96810395,1.0
1.0053321,1.2117578,1.0
1.1701498,0.9372928,1.0
0.8757859,1.2154696,1.0
0.5104445,1.1701468,1.0
0.7097771,0.99817246,1.0
0.8252528,1.4198637,1.0
0.49797207,1.330545,1.0
0.7860588,1.1110418,1.0
0.7752592,1.0266317,1.0
1.0200491,1.0271679,1.0
0.95043576,1.2066624,1.0
0.7988472,1.0621732,1.0
0.6093607,1.2467985,1.0
1.1502414,1.1797781,1.0
0.7187147,1.1180946,1.0
0.7208028,0.9842535,1.0
1.185934,1.3959187,1.0
1.1906757,0.646852,1.0
0.37417287,1.1362998,1.0
0.7077879,1.001658,1.0
0.8168362,0.94604623,1.0
0.9699782,1.4450625,1.0
0.90126914,0.6270498,1.0
0.8322586,0.96971965,1.0
1.3448153,0.8894424,1.0
0.8476981,0.75512344,1.0
1.2185211,1.0353389,1.0
0.9596521,1.150369,1.0
0.7633756,1.414698,1.0
0.46253633,1.1321727,1.0
1.0169786,1.4261307,1.0
0.5596595,1.1512429,1.0
0.94232,1.2064577,1.0
1.0577412,1.2343589,1.0
1.4066889,1.030936,1.0
0.62830573,0.77844244,1.0
0.5671983,1.27071,1.0
0.9608879,0.98932064,1.0
0.5061634,0.9779933,1.0
0.6276983,1.2017641,1.0
0.926487,0.98582375,1.0
0.91249335,0.86021185,1.0
1.158258,0.9790562,1.0
1.0023429,1.1894882,1.0
0.72406286,1.1636658,1.0
1.1806817,0.82816124,1.0
0.11591965,1.2764683,1.0
1.2196198,0.8149276,1.0
1.1339813,0.9249339,1.0
0.65462357,1.0594798,1.0
0.8712336,1.0411956,1.0
1.5623589,0.53876776,1.0
0.6434361,1.198043,1.0
0.57420564,1.3273637,1.0
1.040023,1.5148301,1.0
1.1186874,0.96328133,1.0
1.3317217,0.9462466,1.0
0.6516632,1.0258611,1.0
1.3041106,1.2227343,1.0
1.3173332,1.0923944,1.0
0.7550077,0.8686222,1.0
1.1699388,0.8661257,1.0
1.0935689,0.9152176,1.0
-1.3772433,-1.1204814,0.0
-1.336408,-0.7364867,0.0
-1.2585266,-0.8960459,0.0
-0.717867,-1.036703,0.0
-1.356755,-0.97854394,0.0
-1.5276561,-1.3080546,0.0
-0.6907337,-1.0009371,0.0
-0.99496883,-0.987334,0.0
-1.7801466,-0.99737877,0.0
-0.7484181,-1.0249674,0.0
-0.69639665,-1.0466566,0.0
-1.0242041,-0.9105868,0.0
-0.69114816,-1.3995533,0.0
-1.272032,-0.917603,0.0
-0.71978617,-1.0136697,0.0
-0.9772271,-1.009495,0.0
-1.118899,-1.226022,0.0
-1.2213243,-0.6180756,0.0
-1.5523999,-1.1947075,0.0
-1.1322563,-1.1806484,0.0
-0.6149906,-1.5278654,0.0
-1.0387169,-1.2372024,0.0
-0.9040856,-1.0158556,0.0
-0.5699657,-1.0145156,0.0
-0.97589076,-0.48870337,0.0
-0.8094954,-1.4239147,0.0
-1.1296076,-0.8425802,0.0
-1.2541845,-1.8052729,0.0
-0.75285065,-0.7025533,0.0
-0.78702253,-1.0629086,0.0
-0.70361686,-0.34883457,0.0
-0.8177416,-1.1537637,0.0
-0.6980399,-0.9697995,0.0
-0.7627448,-0.80972487,0.0
-1.1438545,-1.0467577,0.0
-0.9397739,-1.3630686,0.0
-0.9283937,-1.250835,0.0
-1.0861199,-0.6492338,0.0
-0.83971095,-1.4673398,0.0
-1.0069225,-0.9425693,0.0
-0.6650151,-1.6863425,0.0
-0.7917495,-1.176031,0.0
-1.0501797,-0.42706054,0.0
-0.34908855,-1.1586957,0.0
-1.12643,-1.5270677,0.0
-1.1268852,-0.72823644,0.0
-1.161915,-1.2312135,0.0
-1.3266304,-1.2637359,0.0
